return_id,order_id,customer_id,product_id,return_date,days_to_return,quantity_returned,return_reason,return_channel,refund_amount,return_disposition
RET001671,ORD0018444,C00044,P0075,2024-03-31,45,53,Wrong size / fit,Online Portal,7968.02,Resaleable — return to stock
RET001672,ORD0018450,C00284,P0081,2024-02-29,14,2,Changed mind,Carrier Pickup,185.62,Refurbish / re-grade
RET001673,ORD0018455,C00986,P0087,2024-02-22,7,28,Wrong size / fit,Online Portal,5235.16,Resaleable — return to stock
RET001674,ORD0018457,C00814,P0089,2024-03-07,21,21,Wrong size / fit,In-Store,3026.52,Refurbish / re-grade
RET001675,ORD0018458,C01122,P0090,2024-02-29,14,20,Wrong size / fit,Carrier Pickup,2143.0,Resaleable — return to stock
RET001676,ORD0018462,C00746,P0094,2024-03-07,21,3,Better price found,Carrier Pickup,190.17,Resaleable — return to stock
RET001677,ORD0018490,C00543,P0122,2024-02-29,14,12,Gift return,Online Portal,6319.68,Resaleable — return to stock
RET001678,ORD0018494,C00841,P0126,2024-02-29,14,4,Damaged in transit,Carrier Pickup,1149.2,Resaleable — return to stock
RET001679,ORD0018505,C00317,P0002,2024-03-01,14,4,Better price found,Online Portal,4668.6,Return to vendor
RET001680,ORD0018520,C01148,P0018,2024-03-08,21,2,Damaged in transit,Online Portal,624.72,Dispose / write-off
RET001681,ORD0018540,C01148,P0038,2024-03-17,30,3,Not as described,In-Store,906.6,Resaleable — return to stock
RET001682,ORD0018545,C00587,P0043,2024-03-17,30,8,Not as described,Online Portal,2257.04,Resaleable — return to stock
RET001683,ORD0018546,C01637,P0044,2024-02-23,7,55,Damaged in transit,In-Store,4944.47,Resaleable — return to stock
RET001684,ORD0018557,C01257,P0055,2024-03-17,30,13,Damaged in transit,Online Portal,2700.88,Refurbish / re-grade
RET001685,ORD0018564,C00710,P0062,2024-03-01,14,64,Changed mind,Carrier Pickup,3350.61,Resaleable — return to stock
RET001686,ORD0018566,C00479,P0064,2024-03-08,21,49,Not as described,Online Portal,11690.91,Return to vendor
RET001687,ORD0018574,C00117,P0072,2024-02-23,7,21,Better price found,In-Store,5158.02,Return to vendor
RET001688,ORD0018590,C01683,P0089,2024-03-08,21,13,Better price found,Online Portal,1873.56,Resaleable — return to stock
RET001689,ORD0018591,C01186,P0090,2024-04-01,45,38,Product defective,Online Portal,4071.7,Refurbish / re-grade
RET001690,ORD0018636,C00071,P0135,2024-04-01,45,12,Better price found,In-Store,5388.6,Refurbish / re-grade
RET001691,ORD0018653,C01740,P0018,2024-03-18,30,1,Not as described,Carrier Pickup,312.36,Refurbish / re-grade
RET001692,ORD0018654,C01684,P0019,2024-04-02,45,3,Wrong size / fit,Online Portal,2886.6,Refurbish / re-grade
RET001693,ORD0018657,C00656,P0022,2024-03-02,14,16,Damaged in transit,Online Portal,20705.6,Refurbish / re-grade
RET001694,ORD0018661,C01625,P0027,2024-04-02,45,1,Duplicate order,Online Portal,1212.39,Resaleable — return to stock
RET001695,ORD0018665,C00029,P0031,2024-03-09,21,28,Not as described,Online Portal,7359.24,Resaleable — return to stock
RET001696,ORD0018679,C00437,P0045,2024-02-24,7,13,Changed mind,Carrier Pickup,4492.8,Resaleable — return to stock
RET001697,ORD0018686,C01651,P0052,2024-03-18,30,18,Duplicate order,Online Portal,3533.22,Resaleable — return to stock
RET001698,ORD0018695,C00360,P0061,2024-04-02,45,42,Wrong size / fit,In-Store,5431.86,Dispose / write-off
RET001699,ORD0018699,C00394,P0065,2024-03-02,14,18,Damaged in transit,Online Portal,3243.29,Resaleable — return to stock
RET001700,ORD0018700,C00136,P0066,2024-02-24,7,13,Not as described,In-Store,3282.24,Resaleable — return to stock
RET001701,ORD0018711,C00931,P0077,2024-02-24,7,5,Not as described,Online Portal,757.05,Dispose / write-off
RET001702,ORD0018712,C00016,P0078,2024-02-24,7,55,Not as described,In-Store,3326.4,Dispose / write-off
RET001703,ORD0018713,C01747,P0079,2024-03-02,14,30,Product defective,Online Portal,1387.2,Resaleable — return to stock
RET001704,ORD0018720,C01319,P0086,2024-02-24,7,6,Damaged in transit,Online Portal,1097.82,Resaleable — return to stock
RET001705,ORD0018727,C01059,P0093,2024-03-18,30,29,Gift return,Carrier Pickup,696.0,Resaleable — return to stock
RET001706,ORD0018739,C00080,P0105,2024-03-02,14,55,Not as described,Online Portal,2521.75,Dispose / write-off
RET001707,ORD0018743,C00503,P0109,2024-03-18,30,41,Damaged in transit,Online Portal,2823.67,Resaleable — return to stock
RET001708,ORD0018744,C00844,P0110,2024-04-17,60,4,Changed mind,In-Store,140.44,Resaleable — return to stock
RET001709,ORD0018749,C01714,P0115,2024-03-09,21,82,Wrong size / fit,Carrier Pickup,6903.26,Resaleable — return to stock
RET001710,ORD0018753,C00751,P0119,2024-02-24,7,14,Gift return,Online Portal,4408.88,Resaleable — return to stock
RET001711,ORD0018774,C00303,P0006,2024-02-25,7,27,Not as described,In-Store,30647.43,Return to vendor
RET001712,ORD0018784,C01177,P0016,2024-04-03,45,2,Changed mind,In-Store,2035.12,Resaleable — return to stock
RET001713,ORD0018794,C01700,P0026,2024-03-10,21,5,Wrong size / fit,In-Store,5310.0,Refurbish / re-grade
RET001714,ORD0018818,C00948,P0050,2024-03-03,14,57,Wrong size / fit,Online Portal,3459.33,Refurbish / re-grade
RET001715,ORD0018820,C00391,P0052,2024-03-03,14,3,Not as described,Online Portal,588.87,Resaleable — return to stock
RET001716,ORD0018822,C00847,P0054,2024-03-19,30,2,Wrong size / fit,Online Portal,649.26,Resaleable — return to stock
RET001717,ORD0018833,C01843,P0065,2024-03-03,14,27,Damaged in transit,Carrier Pickup,4864.94,Return to vendor
RET001718,ORD0018837,C00603,P0069,2024-03-19,30,1,Damaged in transit,In-Store,130.11,Refurbish / re-grade
RET001719,ORD0018844,C01777,P0076,2024-02-25,7,4,Duplicate order,Online Portal,280.56,Return to vendor
RET001720,ORD0018848,C00415,P0080,2024-02-25,7,2,Wrong size / fit,Online Portal,393.18,Resaleable — return to stock
RET001721,ORD0018863,C00309,P0095,2024-03-10,21,6,Product defective,Carrier Pickup,203.04,Resaleable — return to stock
RET001722,ORD0018885,C00420,P0117,2024-03-03,14,11,Changed mind,Carrier Pickup,4891.81,Return to vendor
RET001723,ORD0018897,C01849,P0130,2024-03-10,21,10,Changed mind,Online Portal,6901.7,Resaleable — return to stock
RET001724,ORD0018899,C00110,P0132,2024-02-25,7,1,Changed mind,Online Portal,351.03,Resaleable — return to stock
RET001725,ORD0018904,C00677,P0002,2024-03-04,14,4,Product defective,In-Store,3786.23,Return to vendor
RET001726,ORD0018913,C00026,P0011,2024-02-26,7,26,Changed mind,Online Portal,19741.28,Refurbish / re-grade
RET001727,ORD0018925,C01055,P0023,2024-02-26,7,2,Gift return,Online Portal,140.32,Refurbish / re-grade
RET001728,ORD0018962,C00646,P0060,2024-03-04,14,13,Better price found,Carrier Pickup,3233.49,Dispose / write-off
RET001729,ORD0018963,C00968,P0062,2024-03-04,14,33,Wrong size / fit,In-Store,1727.66,Return to vendor
RET001730,ORD0018972,C00126,P0071,2024-03-04,14,16,Damaged in transit,In-Store,3370.88,Resaleable — return to stock
RET001731,ORD0018974,C02000,P0073,2024-03-04,14,18,Better price found,Online Portal,2566.98,Resaleable — return to stock
RET001732,ORD0019007,C01926,P0107,2024-03-04,14,49,Not as described,Online Portal,2697.45,Refurbish / re-grade
RET001733,ORD0019009,C00580,P0109,2024-03-04,14,26,Better price found,Online Portal,1790.62,Resaleable — return to stock
RET001734,ORD0019013,C01772,P0113,2024-03-04,14,26,Product defective,Online Portal,799.41,Resaleable — return to stock
RET001735,ORD0019022,C00094,P0122,2024-03-04,14,20,Better price found,In-Store,10532.8,Refurbish / re-grade
RET001736,ORD0019035,C00160,P0135,2024-03-11,21,19,Better price found,Online Portal,8531.95,Dispose / write-off
RET001737,ORD0019039,C00256,P0004,2024-03-12,21,7,Better price found,Online Portal,4896.01,Resaleable — return to stock
RET001738,ORD0019057,C01550,P0022,2024-03-21,30,5,Changed mind,Online Portal,6470.5,Dispose / write-off
RET001739,ORD0019063,C00717,P0028,2024-03-05,14,3,Wrong size / fit,In-Store,2574.45,Resaleable — return to stock
RET001740,ORD0019079,C01079,P0045,2024-04-20,60,1,Duplicate order,Online Portal,345.6,Resaleable — return to stock
RET001741,ORD0019082,C00907,P0048,2024-03-05,14,7,Wrong size / fit,Online Portal,1217.3,Resaleable — return to stock
RET001742,ORD0019086,C01733,P0052,2024-03-12,21,21,Damaged in transit,Online Portal,4122.09,Dispose / write-off
RET001743,ORD0019088,C00113,P0054,2024-03-05,14,3,Wrong size / fit,In-Store,973.89,Resaleable — return to stock
RET001744,ORD0019089,C00506,P0055,2024-03-05,14,27,Wrong size / fit,Online Portal,5609.52,Refurbish / re-grade
RET001745,ORD0019094,C00146,P0060,2024-03-12,21,10,Changed mind,In-Store,2487.3,Refurbish / re-grade
RET001746,ORD0019099,C00244,P0065,2024-02-27,7,33,Wrong size / fit,Carrier Pickup,5946.04,Refurbish / re-grade
RET001747,ORD0019108,C00016,P0074,2024-03-05,14,7,Damaged in transit,Online Portal,1249.22,Resaleable — return to stock
RET001748,ORD0019112,C00341,P0078,2024-03-21,30,25,Changed mind,In-Store,1512.0,Refurbish / re-grade
RET001749,ORD0019120,C00488,P0086,2024-03-12,21,5,Duplicate order,In-Store,914.85,Resaleable — return to stock
RET001750,ORD0019125,C01251,P0091,2024-03-21,30,23,Better price found,Online Portal,1193.7,Resaleable — return to stock
RET001751,ORD0019143,C01714,P0109,2024-03-12,21,6,Changed mind,In-Store,413.22,Resaleable — return to stock
RET001752,ORD0019150,C01809,P0116,2024-03-12,21,28,Not as described,Online Portal,16658.6,Resaleable — return to stock
RET001753,ORD0019155,C00543,P0121,2024-03-12,21,13,Duplicate order,Carrier Pickup,521.17,Resaleable — return to stock
RET001754,ORD0019163,C00309,P0129,2024-02-27,7,17,Wrong size / fit,Online Portal,6260.76,Resaleable — return to stock
RET001755,ORD0019177,C01609,P0009,2024-04-06,45,2,Damaged in transit,Online Portal,2279.54,Resaleable — return to stock
RET001756,ORD0019198,C01474,P0031,2024-03-22,30,13,Better price found,Online Portal,3416.79,Dispose / write-off
RET001757,ORD0019200,C00949,P0033,2024-03-06,14,6,Not as described,Online Portal,1752.9,Resaleable — return to stock
RET001758,ORD0019239,C00087,P0072,2024-04-21,60,18,Changed mind,In-Store,4421.16,Dispose / write-off
RET001759,ORD0019240,C00025,P0073,2024-03-06,14,38,Product defective,Online Portal,5419.18,Resaleable — return to stock
RET001760,ORD0019251,C00320,P0084,2024-03-06,14,3,Gift return,Online Portal,609.18,Refurbish / re-grade
RET001761,ORD0019254,C00510,P0087,2024-03-06,14,26,Product defective,Online Portal,4861.22,Resaleable — return to stock
RET001762,ORD0019281,C00603,P0114,2024-03-06,14,10,Wrong size / fit,In-Store,568.2,Resaleable — return to stock
RET001763,ORD0019309,C00486,P0010,2024-03-07,14,1,Duplicate order,Online Portal,953.68,Resaleable — return to stock
RET001764,ORD0019315,C01061,P0016,2024-02-29,7,3,Duplicate order,Online Portal,3052.68,Dispose / write-off
RET001765,ORD0019326,C00953,P0027,2024-03-23,30,4,Wrong size / fit,In-Store,4849.56,Resaleable — return to stock
RET001766,ORD0019327,C00609,P0028,2024-03-14,21,1,Product defective,In-Store,858.15,Dispose / write-off
RET001767,ORD0019328,C01008,P0029,2024-03-14,21,10,Duplicate order,Online Portal,1457.7,Resaleable — return to stock
RET001768,ORD0019338,C00775,P0039,2024-03-23,30,7,Not as described,Online Portal,103.88,Refurbish / re-grade
RET001769,ORD0019340,C01122,P0041,2024-03-07,14,13,Not as described,Carrier Pickup,486.72,Refurbish / re-grade
RET001770,ORD0019352,C00057,P0053,2024-02-29,7,23,Wrong size / fit,In-Store,7774.46,Resaleable — return to stock
RET001771,ORD0019357,C00034,P0058,2024-03-07,14,6,Not as described,Carrier Pickup,184.8,Return to vendor
RET001772,ORD0019358,C00806,P0059,2024-03-14,21,63,Product defective,Online Portal,12970.22,Resaleable — return to stock
RET001773,ORD0019359,C00060,P0060,2024-04-07,45,16,Changed mind,Online Portal,3979.68,Resaleable — return to stock
RET001774,ORD0019368,C01148,P0069,2024-03-14,21,1,Duplicate order,Online Portal,130.11,Resaleable — return to stock
RET001775,ORD0019377,C01808,P0078,2024-03-23,30,15,Better price found,Carrier Pickup,907.2,Resaleable — return to stock
RET001776,ORD0019384,C01625,P0085,2024-03-14,21,29,Changed mind,Online Portal,6232.39,Refurbish / re-grade
RET001777,ORD0019386,C01408,P0088,2024-04-07,45,34,Not as described,Online Portal,6156.04,Refurbish / re-grade
RET001778,ORD0019396,C00671,P0098,2024-02-29,7,5,Wrong size / fit,In-Store,492.75,Resaleable — return to stock
RET001779,ORD0019399,C00458,P0101,2024-04-22,60,12,Damaged in transit,Online Portal,539.28,Resaleable — return to stock
RET001780,ORD0019410,C00048,P0112,2024-03-23,30,9,Damaged in transit,Carrier Pickup,711.45,Resaleable — return to stock
RET001781,ORD0019415,C01644,P0117,2024-03-07,14,5,Damaged in transit,Online Portal,2223.55,Resaleable — return to stock
RET001782,ORD0019416,C00371,P0119,2024-03-14,21,26,Not as described,In-Store,8187.92,Resaleable — return to stock
RET001783,ORD0019417,C00265,P0120,2024-04-22,60,5,Not as described,Online Portal,650.95,Resaleable — return to stock
RET001784,ORD0019426,C00353,P0130,2024-03-23,30,9,Not as described,Carrier Pickup,6211.53,Return to vendor
RET001785,ORD0019440,C00998,P0011,2024-03-24,30,2,Duplicate order,In-Store,1518.56,Resaleable — return to stock
RET001786,ORD0019448,C01737,P0019,2024-03-01,7,1,Better price found,Online Portal,962.2,Refurbish / re-grade
RET001787,ORD0019458,C00046,P0029,2024-03-01,7,23,Not as described,In-Store,3352.71,Return to vendor
RET001788,ORD0019460,C01453,P0031,2024-03-01,7,24,Wrong size / fit,Online Portal,6307.92,Resaleable — return to stock
RET001789,ORD0019475,C01801,P0046,2024-04-08,45,13,Not as described,Online Portal,3845.66,Resaleable — return to stock
RET001790,ORD0019486,C00108,P0058,2024-03-15,21,14,Duplicate order,Carrier Pickup,431.2,Return to vendor
RET001791,ORD0019489,C01568,P0061,2024-04-08,45,53,Changed mind,Carrier Pickup,6854.49,Dispose / write-off
RET001792,ORD0019493,C00959,P0065,2024-03-01,7,7,Changed mind,Online Portal,1483.86,Return to vendor
RET001793,ORD0019502,C00145,P0074,2024-03-01,7,18,Damaged in transit,Carrier Pickup,3212.28,Dispose / write-off
RET001794,ORD0019508,C00378,P0080,2024-03-08,14,6,Duplicate order,Online Portal,1179.54,Resaleable — return to stock
RET001795,ORD0019518,C00478,P0090,2024-03-08,14,38,Duplicate order,In-Store,4071.7,Resaleable — return to stock
RET001796,ORD0019531,C00579,P0103,2024-04-23,60,37,Product defective,Online Portal,2063.86,Resaleable — return to stock
RET001797,ORD0019561,C01046,P0133,2024-04-08,45,12,Better price found,Online Portal,1873.8,Resaleable — return to stock
RET001798,ORD0019590,C01740,P0027,2024-03-09,14,11,Damaged in transit,Online Portal,13336.29,Resaleable — return to stock
RET001799,ORD0019594,C00732,P0031,2024-03-09,14,27,Duplicate order,Online Portal,7096.41,Resaleable — return to stock
RET001800,ORD0019618,C00280,P0055,2024-03-09,14,1,Wrong size / fit,Online Portal,207.76,Refurbish / re-grade
RET001801,ORD0019620,C00005,P0057,2024-03-25,30,9,Product defective,Online Portal,892.35,Refurbish / re-grade
RET001802,ORD0019626,C00929,P0063,2024-03-09,14,28,Not as described,Online Portal,1127.84,Resaleable — return to stock
RET001803,ORD0019633,C01715,P0070,2024-04-09,45,30,Wrong size / fit,In-Store,3658.8,Return to vendor
RET001804,ORD0019635,C00845,P0072,2024-03-02,7,14,Wrong size / fit,Online Portal,3438.68,Resaleable — return to stock
RET001805,ORD0019651,C00549,P0088,2024-04-09,45,7,Wrong size / fit,Online Portal,1267.42,Return to vendor
RET001806,ORD0019703,C00409,P0007,2024-03-10,14,20,Not as described,In-Store,24111.2,Resaleable — return to stock
RET001807,ORD0019716,C00806,P0021,2024-04-10,45,5,Changed mind,Online Portal,6312.05,Resaleable — return to stock
RET001808,ORD0019722,C00881,P0027,2024-03-10,14,35,Damaged in transit,Online Portal,42433.65,Return to vendor
RET001809,ORD0019728,C00740,P0033,2024-04-10,45,6,Changed mind,Online Portal,1752.9,Refurbish / re-grade
RET001810,ORD0019736,C01660,P0041,2024-03-26,30,6,Duplicate order,Online Portal,224.64,Resaleable — return to stock
RET001811,ORD0019742,C01071,P0047,2024-03-10,14,27,Not as described,In-Store,9822.6,Refurbish / re-grade
RET001812,ORD0019743,C00341,P0048,2024-03-17,21,17,Product defective,Online Portal,2956.3,Resaleable — return to stock
RET001813,ORD0019745,C01051,P0050,2024-03-03,7,15,Gift return,Carrier Pickup,910.35,Refurbish / re-grade
RET001814,ORD0019749,C00498,P0054,2024-03-26,30,4,Damaged in transit,In-Store,1298.52,Resaleable — return to stock
RET001815,ORD0019757,C01697,P0062,2024-03-10,14,5,Product defective,Online Portal,310.15,Resaleable — return to stock
RET001816,ORD0019759,C00958,P0064,2024-03-03,7,55,Changed mind,Online Portal,13122.45,Resaleable — return to stock
RET001817,ORD0019771,C01294,P0077,2024-03-03,7,1,Damaged in transit,Online Portal,151.41,Resaleable — return to stock
RET001818,ORD0019778,C01829,P0084,2024-03-17,21,4,Damaged in transit,Online Portal,812.24,Refurbish / re-grade
RET001819,ORD0019823,C00383,P0129,2024-03-03,7,5,Not as described,Online Portal,1841.4,Dispose / write-off
RET001820,ORD0019829,C01231,P0135,2024-03-10,14,17,Not as described,In-Store,7633.85,Resaleable — return to stock
RET001821,ORD0019832,C00916,P0003,2024-03-11,14,6,Damaged in transit,Carrier Pickup,3084.9,Resaleable — return to stock
RET001822,ORD0019859,C00882,P0031,2024-03-11,14,62,Gift return,Online Portal,16295.46,Resaleable — return to stock
RET001823,ORD0019862,C00086,P0034,2024-03-04,7,25,Wrong size / fit,In-Store,8408.5,Refurbish / re-grade
RET001824,ORD0019894,C01805,P0066,2024-03-18,21,46,Not as described,Carrier Pickup,11614.08,Refurbish / re-grade
RET001825,ORD0019900,C01030,P0072,2024-04-11,45,2,Damaged in transit,Online Portal,491.24,Resaleable — return to stock
RET001826,ORD0019901,C00297,P0073,2024-03-18,21,19,Product defective,Online Portal,2709.59,Resaleable — return to stock
RET001827,ORD0019902,C00156,P0074,2024-04-11,45,9,Product defective,Online Portal,1606.14,Resaleable — return to stock
RET001828,ORD0019907,C00929,P0079,2024-03-18,21,8,Product defective,Online Portal,369.92,Refurbish / re-grade
RET001829,ORD0019915,C01703,P0087,2024-03-27,30,23,Changed mind,Online Portal,4300.31,Resaleable — return to stock
RET001830,ORD0019945,C01720,P0117,2024-04-26,60,21,Gift return,Online Portal,9338.91,Resaleable — return to stock
RET001831,ORD0019948,C01138,P0120,2024-03-27,30,12,Product defective,Carrier Pickup,1562.28,Dispose / write-off
RET001832,ORD0019950,C00675,P0122,2024-03-04,7,27,Better price found,Online Portal,14219.28,Return to vendor
RET001833,ORD0019962,C01750,P0135,2024-03-11,14,12,Changed mind,In-Store,5388.6,Refurbish / re-grade
RET001834,ORD0019975,C01049,P0014,2024-03-28,30,7,Wrong size / fit,Online Portal,2663.08,Resaleable — return to stock
RET001835,ORD0019977,C01012,P0016,2024-03-05,7,7,Product defective,In-Store,7122.92,Resaleable — return to stock
RET001836,ORD0019995,C00696,P0034,2024-03-12,14,31,Wrong size / fit,In-Store,10426.54,Resaleable — return to stock
RET001837,ORD0019999,C01340,P0039,2024-03-28,30,9,Wrong size / fit,Online Portal,133.56,Resaleable — return to stock
RET001838,ORD0020003,C01120,P0043,2024-03-12,14,6,Wrong size / fit,Online Portal,1692.78,Refurbish / re-grade
RET001839,ORD0020015,C01802,P0055,2024-03-19,21,15,Not as described,Online Portal,2408.98,Resaleable — return to stock
RET001840,ORD0020036,C00722,P0076,2024-03-19,21,9,Damaged in transit,Carrier Pickup,631.26,Resaleable — return to stock
RET001841,ORD0020043,C00725,P0083,2024-03-12,14,30,Gift return,Online Portal,2956.2,Resaleable — return to stock
RET001842,ORD0020064,C00819,P0104,2024-04-12,45,26,Product defective,Online Portal,2483.52,Resaleable — return to stock
RET001843,ORD0020085,C01840,P0125,2024-03-12,14,10,Not as described,Online Portal,5398.0,Resaleable — return to stock
RET001844,ORD0020092,C00932,P0133,2024-03-28,30,6,Changed mind,Online Portal,936.9,Resaleable — return to stock
RET001845,ORD0020099,C00945,P0005,2024-04-28,60,4,Changed mind,Online Portal,998.8,Resaleable — return to stock
RET001846,ORD0020136,C00355,P0045,2024-03-06,7,20,Wrong size / fit,Online Portal,6912.0,Resaleable — return to stock
RET001847,ORD0020139,C01314,P0048,2024-03-29,30,15,Better price found,Online Portal,2076.37,Refurbish / re-grade
RET001848,ORD0020152,C00141,P0061,2024-03-20,21,34,Wrong size / fit,In-Store,4397.22,Return to vendor
RET001849,ORD0020158,C00110,P0068,2024-03-13,14,40,Wrong size / fit,Online Portal,8075.6,Return to vendor
RET001850,ORD0020194,C01177,P0104,2024-03-06,7,74,Gift return,In-Store,7068.48,Dispose / write-off
RET001851,ORD0020212,C01695,P0122,2024-03-29,30,34,Not as described,Carrier Pickup,17905.76,Return to vendor
RET001852,ORD0020218,C00890,P0129,2024-03-06,7,5,Product defective,In-Store,1841.4,Refurbish / re-grade
RET001853,ORD0020222,C01627,P0133,2024-03-29,30,1,Product defective,Online Portal,156.15,Resaleable — return to stock
RET001854,ORD0020264,C01030,P0041,2024-03-14,14,13,Wrong size / fit,In-Store,486.72,Refurbish / re-grade
RET001855,ORD0020285,C01014,P0063,2024-03-07,7,2,Damaged in transit,Online Portal,80.56,Refurbish / re-grade
RET001856,ORD0020289,C00128,P0067,2024-03-07,7,6,Wrong size / fit,In-Store,1139.64,Resaleable — return to stock
RET001857,ORD0020292,C00868,P0070,2024-03-14,14,7,Not as described,Online Portal,853.72,Resaleable — return to stock
RET001858,ORD0020293,C00099,P0071,2024-03-21,21,17,Damaged in transit,In-Store,3581.56,Resaleable — return to stock
RET001859,ORD0020295,C01631,P0073,2024-03-07,7,9,Not as described,Online Portal,1283.49,Refurbish / re-grade
RET001860,ORD0020299,C01736,P0077,2024-03-21,21,8,Changed mind,Online Portal,1211.28,Refurbish / re-grade
RET001861,ORD0020302,C00407,P0080,2024-03-14,14,3,Wrong size / fit,Online Portal,589.77,Refurbish / re-grade
RET001862,ORD0020303,C00174,P0081,2024-03-14,14,7,Not as described,In-Store,649.67,Resaleable — return to stock
RET001863,ORD0020312,C00645,P0090,2024-04-14,45,8,Damaged in transit,Carrier Pickup,857.2,Return to vendor
RET001864,ORD0020347,C01162,P0126,2024-03-21,21,4,Not as described,Online Portal,1149.2,Resaleable — return to stock
RET001865,ORD0020358,C00966,P0002,2024-03-15,14,7,Damaged in transit,Online Portal,8170.05,Resaleable — return to stock
RET001866,ORD0020364,C00245,P0008,2024-03-22,21,1,Product defective,Online Portal,180.98,Dispose / write-off
RET001867,ORD0020398,C00357,P0042,2024-03-31,30,10,Product defective,In-Store,1315.8,Resaleable — return to stock
RET001868,ORD0020401,C00935,P0045,2024-03-22,21,26,Wrong size / fit,Online Portal,8985.6,Resaleable — return to stock
RET001869,ORD0020410,C00204,P0054,2024-03-15,14,19,Not as described,Online Portal,6167.97,Resaleable — return to stock
RET001870,ORD0020422,C00891,P0066,2024-03-15,14,19,Gift return,Carrier Pickup,3132.52,Resaleable — return to stock
RET001871,ORD0020423,C00925,P0067,2024-03-15,14,49,Wrong size / fit,In-Store,9307.06,Resaleable — return to stock
RET001872,ORD0020425,C00016,P0069,2024-03-22,21,27,Wrong size / fit,Online Portal,3512.97,Dispose / write-off
RET001873,ORD0020434,C00063,P0078,2024-03-08,7,113,Duplicate order,Online Portal,6834.24,Refurbish / re-grade
RET001874,ORD0020436,C01091,P0080,2024-03-22,21,5,Gift return,Online Portal,982.95,Resaleable — return to stock
RET001875,ORD0020445,C01189,P0089,2024-03-08,7,13,Product defective,Online Portal,1873.56,Resaleable — return to stock
RET001876,ORD0020446,C01901,P0090,2024-03-15,14,46,Changed mind,Online Portal,4928.9,Refurbish / re-grade
RET001877,ORD0020463,C01161,P0107,2024-03-22,21,48,Not as described,Online Portal,2642.4,Resaleable — return to stock
RET001878,ORD0020466,C01134,P0110,2024-03-22,21,89,Better price found,Online Portal,3124.79,Resaleable — return to stock
RET001879,ORD0020475,C01099,P0119,2024-03-22,21,10,Not as described,Online Portal,3149.2,Return to vendor
RET001880,ORD0020500,C00512,P0009,2024-03-23,21,7,Damaged in transit,In-Store,7978.39,Resaleable — return to stock
RET001881,ORD0020505,C00183,P0014,2024-03-09,7,9,Better price found,Online Portal,3423.96,Resaleable — return to stock
RET001882,ORD0020526,C00601,P0035,2024-03-16,14,22,Gift return,In-Store,540.1,Refurbish / re-grade
RET001883,ORD0020551,C00658,P0060,2024-04-01,30,19,Damaged in transit,Carrier Pickup,4725.87,Resaleable — return to stock
RET001884,ORD0020553,C00869,P0062,2024-03-09,7,33,Damaged in transit,Online Portal,2046.99,Resaleable — return to stock
RET001885,ORD0020557,C01213,P0066,2024-03-23,21,49,Wrong size / fit,In-Store,8078.6,Resaleable — return to stock
RET001886,ORD0020559,C00534,P0068,2024-03-23,21,64,Gift return,In-Store,12920.96,Resaleable — return to stock
RET001887,ORD0020574,C00224,P0083,2024-04-01,30,99,Product defective,Online Portal,9755.46,Resaleable — return to stock
RET001888,ORD0020575,C01186,P0084,2024-03-23,21,11,Changed mind,Online Portal,2233.66,Refurbish / re-grade
RET001889,ORD0020579,C00509,P0088,2024-03-09,7,24,Damaged in transit,In-Store,4345.44,Dispose / write-off
RET001890,ORD0020581,C01176,P0090,2024-03-23,21,21,Not as described,Online Portal,2250.15,Refurbish / re-grade
RET001891,ORD0020584,C01357,P0093,2024-03-09,7,95,Gift return,Online Portal,2280.0,Resaleable — return to stock
RET001892,ORD0020608,C00227,P0117,2024-04-16,45,96,Gift return,Online Portal,42692.16,Return to vendor
RET001893,ORD0020639,C00844,P0014,2024-04-02,30,6,Better price found,Online Portal,2282.64,Resaleable — return to stock
RET001894,ORD0020651,C00700,P0026,2024-03-17,14,18,Product defective,In-Store,19116.0,Refurbish / re-grade
RET001895,ORD0020658,C01130,P0033,2024-04-02,30,26,Product defective,In-Store,7595.9,Resaleable — return to stock
RET001896,ORD0020683,C00915,P0058,2024-03-17,14,4,Damaged in transit,In-Store,123.2,Resaleable — return to stock
RET001897,ORD0020693,C00405,P0068,2024-04-02,30,47,Duplicate order,Online Portal,9488.83,Dispose / write-off
RET001898,ORD0020697,C01346,P0072,2024-04-17,45,13,Not as described,Carrier Pickup,3193.06,Refurbish / re-grade
RET001899,ORD0020702,C01721,P0077,2024-04-02,30,8,Changed mind,Online Portal,1211.28,Resaleable — return to stock
RET001900,ORD0020707,C00956,P0082,2024-04-02,30,22,Changed mind,Online Portal,2229.48,Refurbish / re-grade
RET001901,ORD0020708,C00391,P0083,2024-03-17,14,63,Not as described,Online Portal,6208.02,Resaleable — return to stock
RET001902,ORD0020709,C00337,P0084,2024-03-10,7,19,Duplicate order,Carrier Pickup,3858.14,Resaleable — return to stock
RET001903,ORD0020710,C01153,P0085,2024-03-10,7,17,Changed mind,Online Portal,3653.47,Resaleable — return to stock
RET001904,ORD0020714,C00300,P0089,2024-04-02,30,49,Better price found,In-Store,7061.88,Resaleable — return to stock
RET001905,ORD0020720,C00608,P0095,2024-03-17,14,32,Duplicate order,Online Portal,1082.88,Refurbish / re-grade
RET001906,ORD0020762,C00372,P0002,2024-03-25,21,2,Wrong size / fit,Online Portal,2334.3,Dispose / write-off
RET001907,ORD0020774,C00113,P0014,2024-03-25,21,12,Wrong size / fit,Carrier Pickup,4565.28,Resaleable — return to stock
